kategori,adet
"adana","8"
"afyonkarahisar","1"
"ankara","245"
"antalya","9"
"bursa","20"
"denizli","8"
"diyarbakır","2"
"edirne","3"
"eskişehir","18"
"gaziantep","1"
"hatay","24"
"istanbul","200"
"izmir","130"
"kayseri","2"
"kocaeli","11"
"konya","1"
"mersin","5"
"samsun","11"
"trabzon","9"
"tunceli","42"
"uşak","2"
"ısparta","1"
